,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
8145,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
8146,Euthanasia,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby
8147,Adoption,Dog,Spayed Female,2 years,Welsh Springer Spaniel,White/Chocolate
8148,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Brown Tabby
8149,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie/Brown
8150,Transfer,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Orange Tabby/White
8151,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
8152,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
8153,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
8154,Transfer,Cat,Unknown,1 day,Domestic Shorthair Mix,Orange Tabby
8155,Transfer,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White
8156,Return_to_owner,Dog,Neutered Male,4 years,Chihuahua Shorthair/Rat Terrier,Tan
8157,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
8158,Adoption,Dog,Neutered Male,2 years,Labrador Retriever Mix,White/Tan
8159,Adoption,Dog,Spayed Female,3 years,Labrador Retriever/Boxer,Black/White
8160,Transfer,Dog,Intact Male,6 months,Entlebucher Mix,Black/Tan
8161,Adoption,Dog,Spayed Female,2 years,Rat Terrier Mix,Tricolor
8162,Transfer,Dog,Spayed Female,12 years,Miniature Poodle Mix,Gray
8163,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue
8164,Transfer,Dog,Intact Female,6 months,Chihuahua Shorthair Mix,Black/Tan
8165,Return_to_owner,Dog,Intact Male,2 years,West Highland Mix,White
8166,Transfer,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby/White
8167,Adoption,Dog,Spayed Female,3 years,Collie Smooth Mix,Blue Merle/Tan
8168,Transfer,Dog,Spayed Female,13 years,Border Collie Mix,Black/White
8169,Adoption,Dog,Neutered Male,1 year,Miniature Poodle Mix,White/Black
8170,Adoption,Dog,Neutered Male,4 years,Labrador Retriever/Beagle,Brown
8171,Transfer,Dog,Spayed Female,1 year,Chihuahua Shorthair,Tricolor
8172,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Gray/Black
8173,Euthanasia,Cat,Intact Female,5 years,Himalayan Mix,Tortie Point
8174,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
8175,Transfer,Cat,Intact Female,1 month,Domestic Longhair Mix,Brown Tabby
8176,Return_to_owner,Dog,Neutered Male,5 years,Toy Poodle Mix,Apricot
8177,Return_to_owner,Dog,Spayed Female,4 years,Australian Cattle Dog Mix,Blue Tick
8178,Return_to_owner,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
8179,Return_to_owner,Dog,Intact Female,4 years,Cavalier Span Mix,Black/Tan
8180,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
8181,Adoption,Dog,Neutered Male,1 month,German Shepherd/Labrador Retriever,Brown/Black
8182,Euthanasia,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Cream Tabby
8183,Return_to_owner,Dog,Spayed Female,4 years,Chihuahua Longhair Mix,Brown/Tricolor
8184,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Brown Tabby
8185,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Cream Tabby
8186,Transfer,Cat,Spayed Female,7 months,Domestic Medium Hair Mix,Brown Tabby
8187,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
8188,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
8189,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White
8190,Return_to_owner,Dog,Spayed Female,13 years,Chow Chow Mix,Fawn
8191,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
8192,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
8193,Adoption,Dog,Spayed Female,9 years,Pit Bull Mix,Fawn/White
8194,Adoption,Dog,Spayed Female,1 month,Chihuahua Shorthair/Cairn Terrier,Black
8195,Adoption,Dog,Neutered Male,1 year,Dachshund/Australian Cattle Dog,White/Brown
8196,Return_to_owner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Orange Tabby
8197,Adoption,Dog,Neutered Male,3 years,Dachshund Mix,Black/Tan
8198,Transfer,Dog,Neutered Male,7 years,Rat Terrier Mix,Tricolor
8199,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
8200,Adoption,Dog,Spayed Female,3 years,Labrador Retriever/Pointer,Chocolate/White
8201,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Chinese Sharpei,Black/White
8202,Return_to_owner,Dog,Intact Male,5 years,Pit Bull Mix,Tan/White
8203,Transfer,Dog,Intact Female,1 month,Flat Coat Retriever/Pit Bull,Buff/White
8204,Adoption,Dog,Neutered Male,5 months,Australian Cattle Dog Mix,Blue Merle/Tan
8205,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black
8206,Adoption,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Brown
8207,Return_to_owner,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
8208,Return_to_owner,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan
8209,Return_to_owner,Dog,Intact Male,1 year,Yorkshire Terrier Mix,Black/Tan
8210,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
8211,Return_to_owner,Dog,Spayed Female,4 years,Siberian Husky Mix,Sable/Cream
8212,Transfer,Dog,Spayed Female,1 year,Pit Bull Mix,White/Blue
8213,Adoption,Dog,Neutered Male,1 year,German Shepherd/Black/Tan Hound,Black/Tan
8214,Transfer,Dog,Spayed Female,9 years,Pit Bull Mix,White/Brown
8215,Transfer,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
8216,Transfer,Cat,Intact Male,3 years,Bengal Mix,Brown Tabby
8217,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
8218,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Torbie
8219,Return_to_owner,Dog,Intact Female,2 years,Shih Tzu Mix,White/Tan
8220,Adoption,Dog,Spayed Female,1 year,Plott Hound Mix,Yellow Brindle/White
8221,Return_to_owner,Dog,Intact Male,3 years,Australian Cattle Dog Mix,Tricolor
8222,Adoption,Dog,Spayed Female,3 months,Miniature Pinscher/Chihuahua Shorthair,Tricolor
8223,Adoption,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Sable
8224,Transfer,Cat,Intact Female,1 day,Domestic Shorthair Mix,Torbie
8225,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
8226,Adoption,Dog,Spayed Female,5 months,Miniature Schnauzer Mix,Black/Brown
8227,Return_to_owner,Dog,Neutered Male,4 years,Dachshund Mix,Red/Brown
8228,Adoption,Dog,Neutered Male,2 months,Beagle Mix,Tan/White
8229,Transfer,Dog,Spayed Female,6 months,German Shepherd Mix,Brown Brindle
8230,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
8231,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black Tabby/White
8232,Return_to_owner,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Brown/White
8233,Transfer,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
8234,Adoption,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Tricolor
8235,Adoption,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Brown Tabby
8236,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby
8237,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
8238,Adoption,Dog,Spayed Female,2 years,German Shepherd,Black/Brown
8239,Transfer,Cat,Spayed Female,13 years,Domestic Longhair Mix,Black
8240,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White
8241,Adoption,Dog,Spayed Female,6 years,Harrier Mix,Tricolor
8242,Transfer,Dog,Spayed Female,2 years,Catahoula Mix,Blue Merle/Tan
8243,Transfer,Dog,Neutered Male,7 months,Standard Poodle,Apricot
8244,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie/White
8245,Return_to_owner,Dog,Spayed Female,3 years,Boxer Mix,Brown/White
8246,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
8247,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
8248,Return_to_owner,Dog,Spayed Female,3 years,Australian Cattle Dog Mix,Red Merle
8249,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
8250,Adoption,Dog,Neutered Male,6 months,Rottweiler Mix,Black/White
8251,Euthanasia,Dog,Intact Female,10 years,Boxer Mix,Fawn
8252,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
8253,Transfer,Dog,Intact Female,2 years,Shih Tzu Mix,White/Brown
8254,Transfer,Dog,Neutered Male,2 years,Golden Retriever/Chow Chow,Red/White
8255,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
8256,Return_to_owner,Dog,Spayed Female,2 years,Dalmatian Mix,Black/White
8257,Return_to_owner,Dog,Spayed Female,3 years,Lhasa Apso/West Highland,Tricolor
8258,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
8259,Return_to_owner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue Tabby
8260,Transfer,Dog,Neutered Male,2 months,Pointer/American Pit Bull Terrier,White
8261,Adoption,Dog,Spayed Female,4 years,Beagle/Cocker Spaniel,Black/White
8262,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
8263,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
8264,Transfer,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby/White
8265,Euthanasia,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
8266,Adoption,Cat,Spayed Female,1 year,Maine Coon Mix,Brown Tabby
8267,Euthanasia,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby
8268,Adoption,Dog,Spayed Female,2 months,Anatol Shepherd Mix,Silver/Black
8269,Return_to_owner,Dog,Neutered Male,3 years,Border Collie Mix,Tricolor
8270,Adoption,Dog,Spayed Female,1 year,Beagle/Black Mouth Cur,Brown/Black
8271,Transfer,Cat,Intact Female,9 months,Domestic Medium Hair Mix,Torbie
8272,Return_to_owner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White
8273,Transfer,Dog,Neutered Male,2 years,Chihuahua Longhair Mix,Black/Tan
8274,Transfer,Cat,Intact Male,2 days,Domestic Shorthair Mix,Brown Tabby
8275,Return_to_owner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
8276,Transfer,Cat,Intact Male,4 days,Domestic Shorthair Mix,Black
8277,Transfer,Dog,Intact Female,6 months,Carolina Dog Mix,Tan/White
8278,Return_to_owner,Cat,Spayed Female,3 years,Domestic Longhair Mix,Blue
8279,Transfer,Dog,Intact Male,1 month,Labrador Retriever/Plott Hound,Black Brindle/White
8280,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue
8281,Transfer,Dog,Spayed Female,2 months,Carolina Dog Mix,Red
8282,Return_to_owner,Dog,Intact Male,7 months,Miniature Schnauzer Mix,Black/Gray
8283,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby
8284,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black
8285,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie
8286,Adoption,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Black/White
8287,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby
8288,Euthanasia,Dog,Intact Female,1 year,Border Collie Mix,White/Black
8289,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red/White
8290,Transfer,Dog,Neutered Male,6 years,Labrador Retriever Mix,Chocolate
8291,Adoption,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Silver Tabby/White
8292,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,White
8293,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
8294,Return_to_owner,Dog,Neutered Male,7 years,Lhasa Apso Mix,White/Tan
8295,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
8296,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
8297,Transfer,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
8298,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Blue
8299,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
8300,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby
8301,Transfer,Cat,Intact Male,2 weeks,Domestic Medium Hair Mix,Black/Black Tabby
8302,Transfer,Dog,Intact Female,1 year,Cairn Terrier Mix,Tan/Brown
8303,Adoption,Cat,Spayed Female,4 years,Domestic Longhair Mix,White
8304,Transfer,Dog,Intact Male,4 years,Manchester Terrier Mix,Black/Tan
8305,Transfer,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
8306,Euthanasia,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
8307,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
8308,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
8309,Return_to_owner,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Brown
8310,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
8311,Adoption,Dog,Spayed Female,2 months,Australian Shepherd Mix,Brown Merle/White
8312,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black/White
8313,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie
8314,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
8315,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue
8316,Transfer,Dog,Neutered Male,1 year,Labrador Retriever/German Shepherd,Black/White
8317,Adoption,Cat,Spayed Female,2 months,Manx Mix,Black
8318,Euthanasia,Cat,Unknown,2 days,Domestic Shorthair Mix,Black/White
8319,Died,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/Gray
8320,Return_to_owner,Dog,Neutered Male,3 years,Australian Kelpie Mix,Blue
8321,Transfer,Cat,Intact Female,2 years,Domestic Longhair Mix,Torbie
8322,Adoption,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tan/Tan
8323,Return_to_owner,Dog,Neutered Male,2 years,Golden Retriever Mix,Red
8324,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
8325,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
8326,Adoption,Dog,Spayed Female,3 months,Labrador Retriever Mix,Black/White
8327,Transfer,Cat,Intact Female,6 months,Domestic Shorthair Mix,Black/White
8328,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
8329,Adoption,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Tortie
8330,Return_to_owner,Dog,Neutered Male,6 years,German Shepherd Mix,Black
8331,Euthanasia,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White
8332,Transfer,Cat,Unknown,4 days,Domestic Shorthair Mix,Black/White
8333,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black/White
8334,Transfer,Cat,Intact Female,4 years,Domestic Shorthair Mix,Tortie
8335,Euthanasia,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Buff
8336,Adoption,Dog,Neutered Male,1 month,English Coonhound/Border Collie,Red/White
8337,Transfer,Dog,Spayed Female,2 months,Chesa Bay Retr Mix,Chocolate
8338,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
8339,Adoption,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Brown Tabby/White
8340,Adoption,Dog,Neutered Male,9 months,Plott Hound/Labrador Retriever,Black/Brown Brindle
8341,Euthanasia,Dog,Spayed Female,3 years,Pit Bull Mix,Brown/Black
8342,Transfer,Dog,Spayed Female,4 years,Bull Terrier Mix,White/Black
8343,Transfer,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
8344,Adoption,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue Tabby/White
8345,Transfer,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Blue Tabby/White
8346,Transfer,Cat,Intact Male,3 months,Domestic Longhair Mix,Brown Tabby
8347,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby
8348,Transfer,Dog,Spayed Female,1 year,Labrador Retriever/German Shepherd,Black
8349,Transfer,Dog,Intact Male,3 years,Golden Retriever Mix,Red
8350,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
8351,Transfer,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Orange Tabby/White
8352,Return_to_owner,Dog,Spayed Female,1 year,Boston Terrier Mix,Black/White
8353,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
8354,Transfer,Dog,Neutered Male,6 months,Border Collie Mix,White/Black
8355,Adoption,Dog,Spayed Female,3 months,American Bulldog/Schnauzer Giant,White/Black
8356,Adoption,Dog,Neutered Male,7 years,Dogo Argentino/Labrador Retriever,White/Brown
8357,Return_to_owner,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Brown/White
8358,Return_to_owner,Dog,Neutered Male,1 year,Boston Terrier Mix,Brown Brindle/White
8359,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby
8360,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
8361,Adoption,Dog,Neutered Male,8 months,German Shepherd,Black/Tan
8362,Return_to_owner,Dog,Neutered Male,4 years,Siberian Husky,Gray/White
8363,Return_to_owner,Dog,Intact Male,10 years,Queensland Heeler Mix,Blue Tick/Brown
8364,Transfer,Dog,Intact Female,4 months,Labrador Retriever Mix,Black/White
8365,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black
8366,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White
8367,Adoption,Dog,Neutered Male,1 year,Miniature Schnauzer Mix,Black/White
8368,Return_to_owner,Dog,Intact Female,2 months,Dachshund Wirehair Mix,Brown
8369,Return_to_owner,Dog,Neutered Male,11 years,Rat Terrier Mix,Black/White
8370,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
8371,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
8372,Transfer,Dog,Neutered Male,9 months,Chow Chow/Pit Bull,Cream
8373,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
8374,Adoption,Cat,Neutered Male,5 years,Domestic Longhair Mix,White
8375,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
8376,Return_to_owner,Dog,Neutered Male,2 years,Dachshund Wirehair Mix,Black/Brown
8377,Adoption,Dog,Spayed Female,5 years,Labrador Retriever Mix,Red/White
8378,Return_to_owner,Dog,Intact Female,7 months,German Shepherd Mix,Black/Tan
8379,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
8380,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
8381,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
8382,Return_to_owner,Dog,Intact Male,3 years,Beagle Mix,Tricolor
8383,Adoption,Dog,Neutered Male,11 months,Miniature Schnauzer Mix,Black
8384,Return_to_owner,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,White/Red
8385,Return_to_owner,Dog,Neutered Male,4 years,German Shepherd/Great Dane,Sable/Tan
8386,Adoption,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black
8387,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
8388,Transfer,Dog,Intact Female,4 months,Pit Bull Mix,Brown/White
8389,Transfer,Dog,Intact Male,2 months,Labrador Retriever Mix,Cream
8390,Transfer,Cat,Intact Male,1 month,Domestic Longhair Mix,Blue
8391,Adoption,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Cream Tabby
8392,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
8393,Transfer,Cat,Unknown,1 year,Domestic Longhair Mix,Silver Tabby
8394,Transfer,Dog,Intact Male,2 days,Labrador Retriever Mix,Black/White
8395,Transfer,Cat,Spayed Female,2 years,Manx Mix,Tortie
8396,Transfer,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby
8397,Transfer,Cat,Unknown,3 days,Domestic Shorthair Mix,Black/White
8398,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,White/Orange Tabby
8399,Return_to_owner,Dog,Intact Female,3 years,Shih Tzu Mix,Tricolor
8400,Adoption,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Chocolate/Black Smoke
8401,Adoption,Dog,Neutered Male,2 months,English Pointer Mix,Black/White
8402,Transfer,Dog,Spayed Female,6 months,Miniature Schnauzer/Miniature Poodle,Black
8403,Adoption,Dog,Spayed Female,7 years,Australian Shepherd Mix,Red Merle/White
8404,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
8405,Return_to_owner,Dog,Intact Male,8 months,Australian Kelpie Mix,Brown/White
8406,Transfer,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Blue Tabby
8407,Adoption,Dog,Spayed Female,4 years,Pit Bull Mix,White/Brown
8408,Transfer,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Calico
8409,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
8410,Transfer,Dog,Spayed Female,3 months,American Pit Bull Terrier Mix,Brown/White
8411,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
8412,Return_to_owner,Dog,Spayed Female,2 years,Chihuahua Longhair Mix,Black
8413,Transfer,Cat,Intact Female,3 weeks,Siamese Mix,Lynx Point
8414,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White
8415,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
8416,Euthanasia,Cat,Intact Male,2 years,Domestic Longhair Mix,Black/White
8417,Transfer,Dog,Intact Male,1 month,Plott Hound Mix,Black/Brown Brindle
8418,Euthanasia,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
8419,Adoption,Dog,Neutered Male,2 months,Weimaraner/Pit Bull,Fawn/White
8420,Transfer,Cat,Intact Male,,Domestic Shorthair Mix,Blue Tabby/White
8421,Return_to_owner,Dog,Neutered Male,14 years,Pekingese Mix,White
8422,Adoption,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue Tabby/White
8423,Return_to_owner,Dog,Intact Male,7 months,Rottweiler,Black/Brown
8424,Euthanasia,Cat,Intact Male,4 years,Domestic Medium Hair Mix,Orange Tabby
8425,Adoption,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico Point
8426,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
8427,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie/White
8428,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
8429,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby
8430,Euthanasia,Cat,Intact Female,3 months,Domestic Shorthair Mix,Calico
8431,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Cream Tabby/White
8432,Adoption,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Orange Tabby/White
8433,Return_to_owner,Dog,Neutered Male,2 years,Basset Hound/English Pointer,Chocolate/White
8434,Euthanasia,Dog,Intact Female,7 months,Labrador Retriever Mix,Tan/White
8435,Adoption,Dog,Spayed Female,6 months,Vizsla/Golden Retriever,Red/White
8436,Transfer,Cat,Spayed Female,12 years,Domestic Longhair Mix,White
8437,Return_to_owner,Dog,Intact Male,2 months,Pit Bull Mix,Brown/White
8438,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
8439,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Brown Tabby
8440,Adoption,Dog,Neutered Male,4 months,Labrador Retriever Mix,Red/White
8441,Died,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White
8442,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue/White
8443,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
8444,Adoption,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White
8445,Return_to_owner,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Black/White
8446,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
8447,Transfer,Dog,Neutered Male,7 years,Labrador Retriever Mix,Red
8448,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby
8449,Adoption,Dog,Neutered Male,2 months,Labrador Retriever/Pit Bull,Black/White
8450,Adoption,Dog,Spayed Female,1 year,Staffordshire Mix,White/Tan
8451,Transfer,Cat,Intact Male,7 months,Domestic Shorthair Mix,Black
8452,Return_to_owner,Dog,Intact Male,2 years,Chinese Sharpei,Brown
8453,Return_to_owner,Dog,Neutered Male,1 year,Border Collie,Black/Tan
8454,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Black
8455,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
8456,Adoption,Dog,Spayed Female,2 months,Dachshund Longhair Mix,Tan
8457,Adoption,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico
8458,Transfer,Dog,Spayed Female,5 months,Great Pyrenees Mix,White
8459,Adoption,Dog,Spayed Female,1 year,Beagle/Dachshund,White/Brown
8460,Transfer,Dog,Neutered Male,1 year,Chinese Sharpei Mix,Tan/White
8461,Euthanasia,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/White
8462,Transfer,Dog,Intact Male,2 months,Australian Shepherd Mix,Red/Black
8463,Return_to_owner,Dog,Spayed Female,3 years,Yorkshire Terrier Mix,Tan/Black
8464,Transfer,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Brown/Black Tabby
8465,Return_to_owner,Dog,Neutered Male,13 years,Yorkshire Terrier Mix,Tricolor
8466,Euthanasia,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Black/White
8467,Adoption,Dog,Neutered Male,2 years,American Bulldog/Labrador Retriever,White/Brown
8468,Adoption,Dog,Spayed Female,12 years,Chihuahua Shorthair Mix,Black
8469,Transfer,Dog,Intact Male,2 months,Labrador Retriever Mix,Cream
8470,Return_to_owner,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
8471,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,White/Blue
8472,Return_to_owner,Dog,Neutered Male,6 years,Chesa Bay Retr Mix,Chocolate
8473,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Torbie
